,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group,Lithologies,Scores
432,475,1209857,543,546.1,UNCONSOLIDATED COARSE SANDS - VERY HIGH PERMUABILITY HIGH WATER FLOW. NO STRENGTH                                                                                                                                                                         ,flow,100,flow,natural_superficial_ground,surficial_rock,sand,100
433,475,1209857,546,552.1,MEDIUM GRAINED SANDSTONE SOFT / SEMI CONSOLIDATES TRACE LAMINATIONS                                                                                                                                                                                       ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
434,475,1209857,556,587.3,UNCONSOLIDATED SAND SCOOPED FROM SPLITS TO TRAY OCC BEDDING VISIBLE. GRAIN SUPPORTED SUBROUND-SUBVERTICAL                                                                                                                                               ,sand,100,sand,sediment_clastic,sediment,sand,100
435,475,1209857,587,589.5,MICACEOUS MST WITH MINOR V FINE SAND COMPONENT                                                                                                                                                                                                            ,sand,100,sand,sediment_clastic,sediment,sand,100
436,475,1209857,589,590.4,MOD-WELL SORTED FINE GRAINED SSA HIGH CLAY CONTENT                                                                                                                                                                                                       ,mud,100,mud,sediment_clastic,sediment,mud,100
437,475,1209857,597,598.4,FINE GRAINED SAND HIGH CLAY CONTENT V MICACEOUS                                                                                                                                                                                                         ,mud,100,mud,sediment_clastic,sediment,mud,100
438,475,1209857,604,605.9,MORE COMPETENT MICACEOUS FINE GRAINED SANDSTONE                                                                                                                                                                                                           ,sandstone,101,sandstone,clastic,sedimentary_rock,sandstone,101
439,475,1209857,605,642.0,MUD ROTARY SECTION - MICACEOUS SANDS POURED INTO TRAYS                                                                                                                                                                                                   ,mud,100,mud,sediment_clastic,sediment,mud,100
440,475,1209857,642,642.5,POORLY SORTED CLAYEY V. FINE TO COARSE SANDSTONE WITH MICACEOUS MATRIX                                                                                                                                                                                   ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
441,475,1209857,642,645.4,MOD-POORLY SORTED CLAYEY SSA BEDDING VISIBLE OCC GRAIN SUPPORTED PYRITE NODULE 642.8M                                                                                                                                                                   ,massive_sulphide,100,massive_sulphide,ore,mineralisation,massive_sulphide,100
442,475,1209857,650,659.7,FINE-MED GRAINED SANDSTONE MORE COMPETENT SOME BEDDING VISIBLE. MINOR ORGANICS AND SHALEY BANDS                                                                                                                                                         ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
443,475,1209857,659,660.3,SHALEY MUDSTONE WITH ABUNDANT ORGANICS                                                                                                                                                                                                                    ,mudstone,100,mudstone,clastic,sedimentary_rock,mudstone,100
444,475,1209857,660,660.7,MED-COARSE SANDSTONE 10 CM ORGANICS COAL BAND 663.7 PYRITIC PEBBLE BAND 665.6                                                                                                                                                                         ,sandstone,100,sandstone,clastic,sedimentary_rock,coal,100
445,475,1209857,668,674.0,LIGHT GREY FINE MUDSTONE MINOR SAND. COMPETENT LOW SMECTITE CLAY CONTENT                                                                                                                                                                                 ,mud,100,mud,sediment_clastic,sediment,mud,100
446,475,1209857,674,677.3,AS ABOVE INCREASING SMECTITES CAUSING COMPLEX FX PATTERN AS IT DRIES                                                                                                                                                                                     ,complex,100,complex,natural_superficial_ground,surficial_rock,complex,100
447,475,1209857,678,687.0,AS ABOVE INCRESING SMECTITES CAUSING COMPLEX CRAZE FX PATTERN AS IT DRIES                                                                                                                                                                                ,complex,100,complex,natural_superficial_ground,surficial_rock,complex,100
448,475,1209857,687,699.9,DARK GREY CHLORITIC BANDS IN SHALE SANDY BANDS 698.0 QTZ CO3 VN TO 5 MM 689.6                                                                                                                                                                          ,mudstone,100,mudstone,clastic,sedimentary_rock,mudstone,100
449,475,1209857,700,723.2,WK-MOD DOLOMITIC SHALE. MINOR CHLORITIC BANDS. GEN MORE COMPETENT PERVASIVE CO3 VEINING 715M 719.6-720.1 M                                                                                                                                              ,mudstone,100,mudstone,clastic,sedimentary_rock,mudstone,100
450,475,1209857,723,730.7,MASSIVE CORE LOSS PUGGY SILTY-SANDY ZONES IN WK-MOD DOLOMITIC SHALE/MUDSTONE                                                                                                                                                                             ,mudstone,100,mudstone,clastic,sedimentary_rock,mudstone,101
