UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,DESCRIPTN_DH2LOOP,DH2LOOP_SCORE
Joorina Granodiorite,Biotite granodiorite; local tonalite and monzogranite; locally porphyritic; variably foliated; metamorphosed,3321.0,3304.0,"granodiorite,tonalite,monzogranite","101,101,101"
Juderina Formation,"sandstone, shale, siltstone, chert, breccia, conglomerate",2170.0,1600.0,"chert, breccia, sandstone, siltstone, conglomerate, mudstone, shale",-1
June Hill Volcanics,"Mafic, intermediate, and felsic volcanic rock; minor interbedded sedimentary rocks",1799.0,1799.0,"mafic,felsic,iron_sediment","101,100,67"
Jungar Suite,"monzogranite, granodiorite, syenogranite, pegmatite",2648.0,2648.0,"granodiorite, monzogranite, syenogranite, pegmatite, mafic, granitoid, granite, gneiss",-1
Kaarnka Group,"Rhyolitic and trachytic lavas, subvolcanic sills, and pyroclastic rocks, locally interlayered with volcanic sandstones and siltstones and minor basalt",1077.0,1047.0,"rhyolitoid,trachytoid,felsic,pyroclastic_rock,sandstone,mudstone,basalt","84,67,65,91,101,101,101"
Kadgewarrina Monzogranite,Muscovite--biotite(--garnet) monzogranite; equigranular to weakly porphyritic; massive to layered,2851.0,2831.0,monzogranite,101
Kaluweerie Conglomerate,Polymictic conglomerate and lithic sandstone,2500.0,541.0,"conglomerate,sandstone","101,101"
Kangaroo Caves Formation,"Felsic and mafic volcanic rocks, and siliciclastic sedimentary rocks; metamorphosed",3253.0,3235.0,"felsic,mafic,conglomerate","101,100,56"
Kantie Murdana Volcanics Member,"psammitic, pelitic schist",2813.0,2813.0,"andesite, rhyolitoid, volcaniclastic_mud, psammitic, peliticschist",-1
Karalundi Formation,Sandstone; minor shale and conglomerate,2014.0,1920.0,"sandstone,mudstone,conglomerate","101,101,101"
Karara Formation,"Fine-grained sandstone, pebble conglomerate, minor siltstone and shale",1000.0,635.0,"sandstone,conglomerate,mudstone,mudstone","101,101,101,101"
Karbar Monzogranite,monzogranite,2697.0,2665.0,monzogranite,-1
Karratha Granodiorite,Granodiorite and tonalite; foliated with local compositional banding; metamorphosed,3270.0,3261.0,"granodiorite,tonalite","101,101"
Kathleen Ignimbrite,Volcaniclastic rhyolite,1077.0,1047.0,rhyolite,101
Kathleen Valley Gabbro,"Gabbro, quartz gabbro, and pyroxenitic gabbro; minor anorthosite and tonalite; metamorphosed",2735.0,2735.0,"gabbro,gabbro,gabbro,anorthosite,tonalite","101,101,101,101,101"
Kavir Granodiorite,Metamoprhosed biotite granodiorite and minor pegmatitic granite; fine to medium grained; foliated,3240.0,3240.0,"granodiorite,granite","101,101"
Kazput Formation,"Argillite, sandstone, and conglomerate; minor grey recrystallized dolomite and limestone, and thin beds of iron formation",2420.0,2208.0,"mudstone,sandstone,conglomerate,dolostone,limestone,till","101,101,101,101,101,65"
Keep Inlet Formation,"Sandstone, mudstone, conglomerate (including diamictite); minor coal; in part glacigene",298.9,290.1,"sandstone,mudstone,conglomerate,coal,glacigenic_deposit","101,101,101,101,69"
Keep It Dark Monzogranite,Porphyritic monzogranite; locally equigranular; metamorphosed,2936.0,2936.0,monzogranite,101
Kennedy Group,"Sandstone, shale, siltstone, claystone",272.3,259.8,"sandstone,mudstone,mudstone,mudstone","101,101,101,101"
Kennell Granodiorite,Biotite--hornblende granodiorite; local monzogranite and tonalite; foliated; local mafic xenoliths and schlieren; metamorphosed,3315.0,3312.0,"granodiorite,monzogranite,tonalite,mafic,clinker","101,101,101,100,62"
Kialrah Rhyolite,Flow-banded porphyritic rhyolite and minor dacite; metamorphosed,2948.0,2941.0,"rhyolite,dacite","101,101"
Killara Formation,Tholeiitic basalt; locally intercalated with dolerite sills; local lithic sandstone and chert breccia,2170.0,1600.0,"basalt,dolerite,sandstone,breccia","101,100,101,101"
Killi Killi Formation,"Feldspathic metawacke, metasandstone, metasiltstone, metamudstone, metadolerite, and metagabbro; minor quartzite, banded metachert, and metabasalt",1864.0,1830.0,"wacke,sandstone,mudstone,mudstone,dolerite,gabbro,quartzite,chert,basalt","101,101,101,101,101,000,000,000,000"
Kimberley Group  lower,Quartz sandstone and feldspathic sandstone; siltstone and mudstone; basalt; minor dolostone and conglomerate; includes King Leopold Sandstone and Carson Volcanics,1835.0,1797.0,"sandstone,sandstone,mudstone,mudstone,basalt,dolostone,conglomerate,sandstone,andesite","101,101,101,101,101,101,101,101,63"
Kimmys Bore Monzogranite,"Biotite monzogranite; homogeneous, equigranular to seriate",2851.0,2831.0,monzogranite,101
King Leopold Sandstone,"White to pale-brown, medium- to coarse-grained quartz sandstone and pebbly quartz sandstone; minor siltstone and granule to pebble conglomerate",1835.0,1797.0,"sandstone,sandstone,mudstone,gravel,conglomerate","101,101,101,93,101"
Kiwirrkurra Formation,"Red-weathering lithic sandstone, quartz sandstone, and conglomerate",1633.0,1000.0,"sandstone,sandstone,conglomerate","101,101,101"
Knobby Sandstone,"Sandstone, siltstone, and conglomerate",382.7,358.9,"sandstone,mudstone,conglomerate","101,101,101"
Kockatea Shale,Shale; minor siltstone and sandstone; in places calcareous; sandstone members at base,252.17,247.2,"mudstone,mudstone,sandstone,travertine,sandstone","101,101,101,67,100"
Koolbye Formation,Fine- to coarse-grained quartzitic sandstone; minor argillite and conglomerate,2420.0,2208.0,"sandstone,mudstone,conglomerate","101,101,101"
Koongie Park Formation,"Low- to high-grade felsic metavolcanic and metavolcaniclastic rock, metasedimentary rock, metabasalt, and hornfels;  locally migmatitic; minor metachert, metamorphosed banded iron-formation, and metacarbonate",1845.0,1840.0,"felsic,volcaniclastic_mud,iron_sediment,basalt,hornfels,chert,carbonate","100,74,67,101,101,101,101"
Kulail Sandstone  Dean Quartzite  Heavitree Quartzite  and Vaughan Springs Quartzite,"Quartz sandstone, sandstone, and conglomerate; kyanite schist locally",1000.0,800.0,"sandstone,sandstone,conglomerate,schist","101,101,101,101"
Kulele Limestone,"Stromatolitic limestone, micaceous siltstone, mudstone, and fine-grained sandstone; common metre-scale cyclicity",1876.0,1650.0,"limestone,mudstone,mudstone,sandstone,coorongite","101,101,101,101,50"
Kulkatharra Dolerite,Dolerite and gabbro sills intruded into Edmund Group and Collier Group,1084.0,1067.0,"dolerite,gabbro","101,100"
Kunagunarrina Formation,"Basaltic rocks with komatiitic basalt; minor komatiite, siliciclastic rocks and chert; metamorphosed",3275.0,3255.0,"basaltoid,basalt,kalsilitic_rock,siliciclastic_sediment,chert","89,101,101,63,101"
Kungarra Formation,"Argillite and subordinate thin- to thick-bedded sandstone; local stromatolitic dolomite, diamictite, iron formation; intruded by Balgara Dolerite sills",2445.0,2208.0,"mudstone,sandstone,dolostone,diamictite,till,dolerite","101,101,101,101,67,100"
Kuniandi Group,"Siltstone, sandstone, shale, feldspathic wacke, dolomite, and tillite",720.0,541.0,"mudstone,sandstone,mudstone,wacke,dolostone,till","101,101,101,101,101,000"
Kunmarnara Group,Unassigned metamorphosed siliciclastic and mafic volcanic rocks,1085.0,1075.0,"mafic, siliciclastic_sediment, felsic","74,100"
Kurrawang Formation,"Conglomerate, sandy conglomerate, pebbly sandstone to sandstone; polymictic with clasts of banded iron-formation, granite, quartzite and mafic volcanic; planar- and cross-bedding; metamorphosed",2657.0,2640.0,"conglomerate,conglomerate,sandstone,sandstone,bituminous_coal,granite,quartzite,mafic","101,101,101,101,70,101,101,100"
Kylena Formation,"Massive, amygdaloidal, and vesicular basalt and basaltic andesite; local komatiitic basalt, dacite, and rhyolite",2749.0,2735.0,"basaltoid,basalt,andesite,basalt,dacite,rhyolite","57,101,101,101,101,100"
Kynea Migmatite,"gneiss, monzogranite",2950.0,2950.0,"gneiss, monzogranite",-1
Labouchere Formation,"Quartz wacke and siltstone with local quartz-pebble conglomerate beds; includes quartz schist, quartz--muscovite schist, and minor biotite--muscovite schist, locally with chloritoid, staurolite, and/or andalusite",1983.0,1811.0,"wacke,mudstone,conglomerate,schist,schist,schist,chloritolite,saprolite,andesite","101,101,100,101,101,101,82,84,78"
Lady Adelaide Orthogneiss,Gneissose leucocratic metagranodiorite; homogeneous to schlieric-textured,3451.0,3416.0,granodiorite,101
Lady Alma Igneous Complex,magnetitite,2813.0,2813.0,"magnetitite, dolerite, gabbro",-1
Lake Mackay Quartzite,Interbedded quartzite and quartz--mica schist,1750.0,1640.0,"quartzite,schist","101,101"
Lake Medcalf Igneous Complex,Gabbro with minor dolerite; metamorphosed,2920.0,2718.0,"gabbro,dolerite","101,101"
Lalla Rookh Sandstone,"Sandstone with beds of conglomerate, and minor siltstone and shale; metamorphosed",2988.0,2931.0,"sandstone,conglomerate,mudstone,mudstone","101,101,101,101"
Lamboo Province granitic unit,Medium-grained leucocratic granite,1864.0,1788.0,granite,101
Lamboo Province mafic--ultramafic intrusive unit,Undivided mafic--ultramafic rock,1864.0,1805.0,mafic,100
Lamboo Province ultramafic intrusive unit,Undivided ultramafic intrusive rocks,1864.0,1805.0,"coarse_grained_plutonic_crystalline_igneous_rock, peridotite",100
Lamil Group,"Quartz sandstone, conglomerate, carbonate, siltstone, and shale; minor pyritic shale",950.0,630.0,"sandstone,conglomerate,carbonate,mudstone,mudstone,mudstone","101,101,101,101,101,000"
Lancelin Formation,"Glauconitic chalk, marl, and calcareous mudstone",86.3,66.0,"chalk,marl,mudstone","101,101,101"
Lander Rock Formation,Interbedded psammite and pelite; quartz--muscovite schist; may include metamorphosed banded iron-formation and metavolcanic rocks,1840.0,1830.0,"sandstone,mudstone,schist,adinole,felsic","86,101,101,57,62"
Langfield Group,"Sandstone, limestone, shale, and siltstone",358.9,346.7,"sandstone,limestone,mudstone,mudstone","101,101,101,101"
Larranganni Formation,"Sandstone, minor siltstone, and conglomerate",252.17,66.0,"sandstone,mudstone,conglomerate","101,101,101"
Leake Spring Metamorphics,Pelitic and psammitic schist; calc-silicate rock; minor amphibolite,1842.0,1807.0,"mudstone,schist,fine_crystalline_sedimentary,amphibolite","77,101,101,101"
Leederville Formation,Interbedded sandstone and siltstone; minor conglomerate; scattered thin coal seams,132.9,113.0,"sandstone,mudstone,conglomerate,coal","101,101,101,100"
Leeuwin Inlier metagranitic unit,Granitic gneiss,1091.0,515.0,gneiss,101
Leeuwin Inlier metamorphosed mafic intrusive unit,"gneiss, granite, anorthosite, leucogabbro",688.0,681.0,"gneiss, granite, anorthosite, leucogabbro",-1
Leilira Formation,"Siliciclastic sedimentary rocks, minor felsic volcanic rocks, and chert; metamorphosed",3275.0,3255.0,"conglomerate,felsic,chert","56,100,101"
Lennis Sandstone,"Fine- to medium-grained feldspathic micaceous sandstone, minor siltstone; giant cross beds, possibly eolian",508.0,443.4,"sandstone,mudstone,aeolian_deposit","101,101,67"
Lesueur Sandstone,Very fine to very coarse grained quartz sandstone; subordinate granule conglomerate; minor siltstone,247.2,201.3,"sandstone,conglomerate,mudstone","101,101,101"
Lewis Granite,Muscovite and biotite monzogranite; locally porphyritic; minor biotite granodiorite,1796.0,1796.0,"carbonatite, monzogranite, granodiorite","71,101,101"
Lillybooroora Conglomerate,Boulder and cobble conglomerate; minor sandstone and siltstone,382.7,350.0,"gravel,conglomerate,sandstone,mudstone","93,101,101,101"
Lindsay Hill Formation,"Quartzite and metasandstone, interbedded with metasiltstone; locally interbedded with metaconglomerate and pebbly metasandstone",1752.0,1600.0,"quartzite,sandstone,mudstone,conglomerate,sandstone","101,101,101,101,101"
Liveringa Group,"Sandstone and siltstone, minor conglomerate, and coal",272.3,252.17,"sandstone,mudstone,conglomerate,coal","101,101,101,101"
Lordy Basalt Member,"maficvolcanic, komatiitic basalt",2800.0,2760.0,"maficvolcanic, komatiitic basalt",-1
Louden Volcanic Member,"Basalt and komatiite, with locally thick siliciclastic sedimentary intercalations; metamorphosed",2950.0,2948.0,"basalt,kalsilitic_rock,conglomerate","101,101,56"
Louisa Downs Group,"Siltstone, sandstone, quartzwacke, pebble conglomerate, shale, dolomite, stromatolitic dolomite, limestone, and tillite",635.0,541.0,"mudstone,sandstone,quartz_wacke,conglomerate,mudstone,dolostone,dolostone,limestone,till","101,101,96,101,101,101,101,101,101"
Lucas Formation,"Sandstone (partly calcareous), siltstone, and mudstone; minor limestone and conglomerate",541.0,252.17,"sandstone,mudstone,mudstone,limestone,conglomerate","101,101,101,101,101"
Lupton Formation,Diamictite and sandstone,720.0,635.0,"diamictite,sandstone","101,101"
Lyons Group,"Diamictite, sandstone and siltstone (locally calcareous), shale, and boulder beds and lags; glacigene",323.2,290.1,"diamictite,sandstone,mudstone,mudstone,gravel,lag,glacitectonite","101,101,101,101,74,101,70"
MacDougall Formation,Quartz-pebble conglomerate and sandstone,1085.0,1075.0,"conglomerate,sandstone","101,101"
Maddina Formation,"Massive, amygdaloidal, or vesicular basalt and basaltic andesite; local komatiitic basalt, dacite, and rhyolite",2718.0,2713.0,"basaltoid,basalt,andesite,basalt,dacite,rhyolite","57,101,101,101,101,100"
Madoonga Formation,"rhyolite, psammite",2979.0,2969.0,"rhyolite, psammite",-1
Madura Formation,"Carbonaceous sandstone, siltstone, claystone and shale; commonly pyritic",129.4,113.0,"sandstone,mudstone,mudstone,mudstone,massive_sulphide","101,101,101,101,77"
Madura Province metagranitic unit,"Metagranitic and metamorphosed mafic rocks, undivided; may include metasedimentary rocks",1600.0,1100.0,"granitoid,mafic,fine_crystalline_sedimentary","82,100,60"
Mafic intrusive unit,"Dolerite dykes, sills, or plugs; fine- to medium-grained dolerite; age uncertain",4000.0,0.0,"dolerite,mud,dolerite","100,75,101"
Maggie Hays Formation,Basalt and siliciclastic sedimentary rocks; metamorphosed,3131.0,2920.0,"basalt,conglomerate","101,56"
Mahony Group,"Sandstone (pebbly in places), and pebble to boulder conglomerate",382.7,372.2,"sandstone,gravel,conglomerate","101,92,101"
Maitland Intrusion,"Gabbro, leucogabbro, serpentinized peridotite and dunite, pyroxenite, and minor anorthosite; metamorphosed",2930.0,2924.0,"gabbro,dolerite,peridotite,dacite,pyroxenite,anorthosite","101,73,101,80,101,101"
Maitland River Supersuite,"Tonalite, granodiorite, and monzogranite; K-feldspar phenocrysts in most intrusions; variably foliated; metamorphosed",3006.0,2982.0,"tonalite,granodiorite,monzogranite,coarse_grained_plutonic_crystalline_igneous_rock","101,101,101,78"
Malcolm Metamorphics,Interbedded psammitic and pelitic schist; basalt schist locally altered to calcareous rock; intruded by Recherche Supersuite,1455.0,1313.0,"pisolith,schist,schist,travertine","75,101,100,67"
Mallina Formation,"Interbedded shale, siltstone, sandstone, and medium- to fine-grained wacke; metamorphosed",3015.0,2931.0,"mudstone,mudstone,sandstone,wacke","101,101,101,101"
Mallindra Well Granodiorite,Hornblende--biotite granodiorite and tonalite; massive to moderately foliated; locally inclusion-rich; weakly metamorphosed,2946.0,2946.0,"granodiorite,tonalite","101,101"
Malmac Granite,Weathered monzogranite,2600.0,2500.0,monzogranite,101
Malu Formation,Fine- to medium-grained quartz sandstone,950.0,630.0,sandstone,101
Manganese Group,"Sandstone, siltstone, mudstone, conglomerate, chert, and dolostone",1317.0,1070.0,"sandstone,mudstone,mudstone,conglomerate,chert,dolostone","101,101,101,101,101,000"
Manyutup Tonalite,Tonalite; minor phases of diorite and granodiorite; metamorphosed,2989.0,2965.0,"tonalite,diorite,granodiorite","101,101,101"
Mapa Igneous Complex,"Layered gabbro and dolerite with minor pyroxenite; generally weakly metamorphosed, locally up to amphibolite facies; locally schistose",2755.0,2755.0,"gabbro,dolerite,pyroxenite,amphibolite","101,101,101,100"
Maraloou Formation,"Siltstone, ferruginous shale, in part calcareous; basal intercalated tholeliitic basalt pillow lava, dolerite sills",2170.0,1600.0,"mudstone,mudstone,travertine,basalt,basalt,dolerite","101,101,69,91,100,100"
Marble Bar Chert Member,"Layered grey, red, and white chert; metamorphosed",3463.0,3459.0,chert,101
Marboo Formation,"Thin-bedded, turbiditic metasandstone and quartz--chlorite--muscovite phyllite; hornfelsed adjacent to granite intrusions",1872.0,1864.0,"sandstone,phyllite,hornfels,granite","101,101,89,100"
Marda Complex,Felsic volcanic and volcaniclastic rocks; metamorphosed,2734.0,2730.0,"volcaniclastic_mud, felsic, volcaniclastic_breccia","100,74"
Marlomumbah Granite,granite,2606.0,2606.0,"tuffaceous_sedimentary_rock, granite",-1
Marra Mamba Iron Formation,"Chert, banded iron-formation, mudstone, and siltstone; minor carbonate; metamorphosed",2629.0,2597.0,"chert,bituminous_coal,mudstone,mudstone,carbonate","101,71,101,101,101"
Marymia Inlier granitic unit,"Granitic rock, undivided; metamorphosed",3010.0,2600.0,granitoid,89
Mason Knob Monzogranite,"Porphyritic monzogranite; fine- to coarse-grained with feldspar megacrysts, locally seriate; metamorphosed",2660.0,2660.0,"monzogranite,alkali_feldspar_trachyte","101,56"
Maurice Formation,"Lithic and feldspathic sandstone, very fine to medium grained; cross-bedded; minor laminated, micaceous siltstone; commonly silicified",635.0,510.0,"pisolith,sandstone,mudstone","75,101,101"
Maydon Basalt,"Metabasalt, commonly pillowed with minor interflow sedimentary rocks; minor dolerite and amphibolite",3131.0,2958.0,"basalt,sedimentary_rock,dolerite,amphibolite","101,80,101,101"
McFadden Formation,"Quartz sandstone, commonly giant-scale cross-bedded; minor siltstone and conglomerate; largely eolian",635.0,541.0,"sandstone,mudstone,conglomerate,colluvium","101,101,101,53"
McKay Creek Metasyenogranite,"Metasyenogranite, mingled with metagabbro; may include intrusions of Bobbie Point Metasyenogranite, and remnants of Voodoo Child Formation and Hercules or Tropicana Gneiss",1761.0,1761.0,"syenogranite,gabbro,syenogranite,gravel,gneiss","101,101,101,62,101"
McPhee Formation,"Ultramafic volcanic rock, siliciclastic sedimentary rock, basalt, and chert; local felsic volcanic rock; metamorphosed",3477.0,3477.0,"ultrabasic_volcanic_rock,conglomerate,basalt,chert,felsic","65,56,101,101,100"
Meekatharra Formation,"basalt, amphibolite",2800.0,2760.0,"felsic, basalt, amphibolite",-1
Mereenie Sandstone,Quartz sandstone; minor siltstone; largely eolian,443.4,393.3,"sandstone,mudstone,colluvium","101,101,53"
Merlinleigh Sandstone,"Coarse-grained sandstone; lesser siltstone, conglomerate, and claystone; commonly intensely silicified",41.2,33.9,"sandstone,mudstone,conglomerate,mudstone,coarse_grained_plutonic_crystalline_igneous_rock","101,101,101,101,56"
Merougil Formation,"Biotite-bearing pebbly sandstone, sandstone, and siltstone; minor polymictic conglomerate; metamorphosed",2664.0,2640.0,"sandstone,sandstone,mudstone,conglomerate","101,101,101,101"
Mesozoic siliciclastic units  eastern Canning Basin,"Sandstone, siltstone, claystone, and conglomerate; undivided",252.17,66.0,"sandstone,mudstone,mudstone,conglomerate","101,101,101,101"
Metamorphic unit,"Mylonite, silicified",4000.0,0.0,mylonite,101
Metawandy Granite,Monzogranite; locally abundant mafic xenoliths,2893.0,2893.0,"monzogranite,mafic","101,100"
Miaree Granite,Monzogranite and syenogranite; foliated; metamorphosed,2997.0,2997.0,"monzogranite,syenogranite","101,101"
Millars Monzogranite,Quartz-rich monzogranite,2654.0,2600.0,monzogranite,101
Milli Milli Inlier greenstones,"Basaltic and andesitic flows, and associated volcaniclastic rocks; metamorphosed",3530.0,3225.0,"basalt, chert, andesitoid, iron_sediment, volcaniclastic_breccia, sandstone, conglomerate, mudstone, dolomicrite","86,76,61"
Milli Milli Inlier metagranitc unit,"Foliated, gneissic, or migmatitic metagranitic rock",3225.0,2890.0,"gneiss,granitoid","86,63"
Millidie Creek Formation,Sandstone and shale; minor granular iron-formation,1983.0,1811.0,"sandstone,mudstone,gravel","101,101,75"
Millindinna Intrusion,"Gabbro, pyroxenite, and peridotite; metamorphosed",2954.0,2948.0,"gabbro,pyroxenite,peridotite","101,101,101"
Millury Formation,"Quartz sandstone; minor siltstone, local evaporite pseudomorphs",1620.0,1455.0,"sandstone,mudstone,evaporite","101,101,100"
Millyit Sandstone,Fine- to coarse-grained sandstone; minor conglomerate,252.17,247.2,"sandstone,conglomerate","101,101"
Mingenew Formation,"Fine- to coarse-grained sandstone, micaceous siltstone",286.0,272.3,"sandstone,mudstone","101,101"
Minjar Member,"felsic volcaniclastic, basalt, sedimentary rock",2947.0,2947.0,"felsic volcaniclastic, basalt, sedimentary rock",-1
Minnamonica Monzogranite,Quartz and K-feldspar porphyritic muscovite(--biotite) monzogranite; fine to coarse grained; massive to weakly foliated,2851.0,2831.0,"vein,monzogranite","101,101"
Mission Group,"Vesicular and amygdaloidal basalt and basaltic andesite, interlayered with fine- to coarse-grained siliciclastic rocks and minor dolomite, chert, and microbialite",1057.0,1040.0,"basalt,andesite,siliciclastic_sediment,dolostone,chert,dolerite","101,101,63,101,101,75"
Mondana Monzogranite,"Massive leucocratic monzogranite; very fine to medium grained; quartz-rich, minor biotite; equigranular to sparsely feldspar-porphyritic; weakly metamorphosed",2851.0,2831.0,"monzogranite,micaite","101,88"
Moodini Supersuite,Granitic and gabbroic rocks; typically undeformed,1200.0,1100.0,"granitoid,gabbroid","82,89"
Moogie Metamorphics,"Psammitic and pelitic schist; calc-silicate rock; minor quartzite, marble, amphibolites, and ultramafic schist",2240.0,2125.0,"pisolith,schist,fine_crystalline_sedimentary,quartzite,marble,amphibolite,schist","75,101,101,101,101,100,000"
Moola Bulla Formation,"Sandstone, mudstone, and granule to cobble conglomerate",2500.0,1600.0,"sandstone,mudstone,gravel,conglomerate","101,101,93,101"
Moolyella Monzogranite,Muscovite--biotite monzogranite; medium grained; massive to weakly foliated,2831.0,2831.0,monzogranite,101
Moora Group,"Sandstone, siltstone; basalt (in lower part), and dolomite and silicified dolomite (in upper part)",1600.0,541.0,"sandstone,mudstone,basalt","101,101,101"
Moorarie Supersuite,"Massive, subophitic metagabbro; medium grained; amphibolite; minor hornblende schist",1806.0,1776.0,"amphibolite, granite, gabbro, schist","101,101,101"
Mosquito Creek Formation,Interlayered psammite and pelite; graded bedding and local cross-bedding preserved; includes metamorphosed turbidite deposits,2980.0,2930.0,"sandstone,mudstone,turbidites","86,101,67"
Motherin Monzogranite,"Interleaved metamonzogranite, metagranodiorite, gneiss, and pegmatite; moderately to strongly foliated; intruded by abundant sheets of massive to weakly foliated muscovite-bearing metamonzogranite and pegmatite",3484.0,3462.0,"monzogranite,granodiorite,gneiss,pegmatite,monzogranite,pegmatite","101,101,101,101,101,000"
Mougooderra Formation,"siltstone, sandstone",2758.0,2700.0,"siltstone, sandstone",-1
Mount Ada Basalt,Mafic volcanic rock; local ultramafic rock; metamorphosed,3470.0,3469.0,"mafic,ultramafic_rock","100,54"
Mount Augustus Sandstone,"Sandstone, pebbly sandstone, and conglomerate; minor siltstone",1679.0,1610.0,"sandstone,sandstone,conglomerate,mudstone","101,101,101,101"
Mount Barren Group,"Phyllite, pelite and psammite schist; quartzite and metacarbonate",2000.0,1690.0,"phyllite,mudstone,schist,quartzite,carbonate","101,101,101,101,101"
Mount Crofton Granite,Syenogranite and monzogranite,633.0,621.0,"syenogranite,monzogranite","101,101"
Mount Gregory Monzodiorite,"Monzodiorite; massive, medium- to coarse-grained; metamorphosed",3016.0,3016.0,monzodiorite,101
Mount Harris Basalt,"Metamorphosed basalt, basaltic tuff, conglomerate, and quartzite",1085.0,1040.0,"basalt,tuff,conglomerate,quartzite","101,101,101,101"
Mount Holmes Gabbro,Gabbro; metamorphosed,1070.0,1070.0,gabbro,101
Mount House Group,"Tillite, sandstone, siltstone, and minor stromatolitic dolomite",720.0,541.0,"till,sandstone,mudstone,dolostone","101,101,101,101"
Mount James Subgroup,"Pelitic and psammitic schist, metamorphosed quartz sandstone, feldspathic metasandstone and metaconglomerate",1758.0,1682.0,"mudstone,schist,sandstone,sandstone,conglomerate","77,101,101,101,101"
Mount Joseph Migmatite,Psammitic and pelitic migmatite and granofels; quartz--K-feldspar--plagioclase--biotite--sillimanite--muscovite(--cordierite--garnet--andalusite) rock; anatectic granite,1872.0,1864.0,"pisolith,migmatite,granofels,vein,granite","75,101,101,100,101"
Mount Kenneth Suite,granite,2815.0,2800.0,"quartzite, hornblendite, sandstone, sedimentary_rock, tonalite, granitoid, mudstone, granite, amphibolite",-1
Mount Leake Formation,Quartz arenite; locally glauconitic,1785.0,1000.0,"arenite,glaucophanite","101,75"
Mount McGrath Formation,"Ferruginous sandstone, conglomerate and pebbly sandstone; quartz sandstone, siltstone, dolomitic siltstone, and dolostone",2008.0,1799.0,"sandstone,conglomerate,sandstone,sandstone,mudstone,mudstone,dolostone","101,101,101,101,101,000,000"
Mount McRae Shale and Mount Sylvia Formation,"Mudstone, siltstone, chert, banded iron-formation, and dolomite; metamorphosed",2541.0,2501.0,"mudstone,mudstone,chert,bituminous_coal,dolostone","101,101,101,71,101"
Mount Minnie Group,"Quartz sandstone, conglomerate, siltstone and mudstone",1799.0,1620.0,"sandstone,conglomerate,mudstone,mudstone","101,101,101,101"
Mount Negri Volcanic Member,"Basalt, komatiitic basalt, and basaltic andesite; local siliciclastic sedimentary rocks; metamorphosed",2950.0,2948.0,"basalt,basalt,andesite,carbonate_sediment","101,101,101,54"
Mount Palgrave Group,"Felsic volcanic and volcaniclastic rocks, sandstone, siltstone, and mudstone; minor mafic volcanic rocks",1077.0,1047.0,"felsic,volcaniclastic_mud,sandstone,mudstone,mudstone,mafic","100,74,101,101,101,100"
Mount Parker Formation,"Sandstone, pebbly sandstone, conglomerate, siltstone, mudstone, and breccia",1797.0,541.0,"sandstone,sandstone,conglomerate,mudstone,mudstone,breccia","101,101,101,101,101,000"
Mount Ragged Formation,Psammitic schist and quartzite interbedded with thin layers of pelitic rocks,1314.0,1175.0,"schist,quartzite,melilite_bearing_rock","101,101,74"
Mount Roe Basalt,Basaltic volcanic rock; local volcaniclastic and siliciclastic rocks,2775.0,2772.0,"basaltoid,volcaniclastic_mud,siliciclastic_sediment","67,74,63"
Mount Sholl Intrusion,"Gabbro, leucogabbro, serpentinized peridotite and dunite, pyroxenite, and minor anorthosite; metamorphosed",2930.0,2924.0,"gabbro,dolerite,peridotite,dacite,pyroxenite,anorthosite","101,73,101,80,101,101"
Mount Venn Igneous Complex,"Layered intrusion of gabbro, leucogabbro, and leucodolerite; metamorphosed; locally schistose",2769.0,2666.0,"gabbro,dolerite,dolerite","101,73,76"
Mount Waugh Formation,"Flow-banded rhyolite, locally interlayered with siliciclastic diamictite, conglomerate, sandstone and siltstone, and amygdaloidal basalt",1077.0,1047.0,"rhyolite,diamictite,conglomerate,sandstone,mudstone,basalt","101,101,101,101,101,000"
Mount Webb Granite,"Metamonzogranite; metasyenogranite, metagranodiorite, and metatonalite",1647.0,1633.0,"monzogranite,syenogranite,granodiorite,tonalite","101,101,101,101"
Mount Weld Carbonatite,Carbonatite plug with mineralized lateritic cap; breccia with abundant glimmerite; locally silicified,2020.0,2020.0,"carbonatite,mineralisation,breccia,monzonite","101,100,101,67"
Mu Formation,"Conglomerate, sandstone, mudstone",541.0,485.4,"conglomerate,sandstone,mudstone","101,101,101"
Muja Coal Measures,"Interbedded poorly sorted feldspathic sandstone, carbonaceous shale, coal; conglomerate",283.5,258.5,"sandstone,mudstone,coal,conglomerate","101,101,101,101"
Mulgandinnah Monzogranite,"Magnetite-bearing biotite monzogranite, fine to medium grained; weakly foliated",2934.0,2919.0,monzogranite,101
Mulgarra Sandstone,"Sandstone; minor shale, limestone, and granule conglomerate; locally glauconitic",1808.0,1650.0,"sandstone,mudstone,limestone,conglomerate,glaucophanite","101,101,101,101,75"
Mulgine Granite,tonalite,2756.0,2756.0,tonalite,-1
Mullingarra Gneiss,"Quartzofeldspathic, semi-pelitic and pelitic gneiss; granoblastic texture common; minor pegmatitic and granitic segregations; includes lenses of quartzite and amphibolite",1113.0,1058.0,"quartz_latite,gneiss,phonolitic_tephrite,pegmatite,granitoid,quartzite,amphibolite","65,101,50,84,61,101,101"
Mullugunya Granodiorite,Biotite--hornblende granodiorite; medium grained; weakly foliated and metamorphosed,3308.0,3297.0,granodiorite,101
